Gmt time,Ask,Bid,AskVolume,BidVolume
24.06.2024 00:00:00.038,1.51587,1.51539,980,130
24.06.2024 00:00:00.394,1.5158200000000002,1.5153400000000001,430,90
24.06.2024 00:00:00.996,1.5158600000000002,1.51531,560,130
24.06.2024 00:00:01.500,1.5157900000000002,1.51534,910,120
24.06.2024 00:00:02.554,1.51576,1.5153400000000001,480,120
24.06.2024 00:00:02.705,1.51579,1.5153800000000002,440,110
24.06.2024 00:00:03.258,1.51584,1.5153699999999999,500,80
24.06.2024 00:00:05.465,1.5157500000000002,1.51533,120,100
24.06.2024 00:00:05.766,1.51573,1.5153400000000001,70,110
24.06.2024 00:00:05.968,1.5157800000000001,1.5153400000000001,120,70
24.06.2024 00:00:08.777,1.51574,1.51526,130,170
24.06.2024 00:00:09.179,1.5157800000000001,1.5153500000000002,560,140
24.06.2024 00:00:09.331,1.5157,1.5153100000000002,90,150
24.06.2024 00:00:10.085,1.5157200000000002,1.5153400000000001,80,70
24.06.2024 00:00:11.190,1.51577,1.51533,80,80
24.06.2024 00:00:11.542,1.5157600000000002,1.51533,120,80
24.06.2024 00:00:12.798,1.5158,1.51536,90,90
24.06.2024 00:00:14.507,1.5157399999999999,1.51537,140,110
24.06.2024 00:00:15.060,1.51576,1.5153400000000001,100,80
24.06.2024 00:00:15.863,1.51579,1.51535,80,160
24.06.2024 00:00:21.536,1.5157800000000001,1.5154400000000001,90,150
24.06.2024 00:00:23.140,1.51582,1.51539,100,140
24.06.2024 00:00:23.291,1.51582,1.51543,160,100
24.06.2024 00:00:24.546,1.51582,1.5153900000000002,160,140
24.06.2024 00:00:27.785,1.51583,1.5154,130,150
24.06.2024 00:00:28.690,1.51583,1.51536,140,170
24.06.2024 00:00:29.996,1.5157800000000001,1.51538,110,150
24.06.2024 00:00:30.299,1.51579,1.51547,80,170
24.06.2024 00:00:37.271,1.51579,1.51547,120,160
24.06.2024 00:00:37.824,1.5158800000000001,1.5154400000000001,150,120
24.06.2024 00:00:38.828,1.51581,1.5154500000000002,160,100
24.06.2024 00:00:43.995,1.5158300000000002,1.5154,130,70
24.06.2024 00:00:46.555,1.5157,1.51533,90,870
24.06.2024 00:00:46.656,1.51565,1.51529,80,110
24.06.2024 00:00:46.757,1.5156800000000001,1.5153200000000002,110,120
